product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_id
perfumaria,40.0,287.0,1.0,225.0,16.0,10.0,14.0,1
artes,44.0,276.0,1.0,1000.0,30.0,18.0,20.0,2
esporte_lazer,46.0,250.0,1.0,154.0,18.0,9.0,15.0,3
bebes,27.0,261.0,1.0,371.0,26.0,4.0,26.0,4
utilidades_domesticas,37.0,402.0,4.0,625.0,20.0,17.0,13.0,5
instrumentos_musicais,60.0,745.0,1.0,200.0,38.0,5.0,11.0,6
cool_stuff,56.0,1272.0,4.0,18350.0,70.0,24.0,44.0,7
moveis_decoracao,56.0,184.0,2.0,900.0,40.0,8.0,40.0,8
eletrodomesticos,57.0,163.0,1.0,400.0,27.0,13.0,17.0,9
brinquedos,36.0,1156.0,1.0,600.0,17.0,10.0,12.0,10
cama_mesa_banho,54.0,630.0,1.0,1100.0,16.0,10.0,16.0,11
bebes,49.0,728.0,4.0,7150.0,50.0,19.0,45.0,12
instrumentos_musicais,43.0,1827.0,3.0,250.0,17.0,7.0,17.0,13
moveis_decoracao,51.0,2083.0,2.0,600.0,68.0,11.0,13.0,14
construcao_ferramentas_seguranca,59.0,1602.0,4.0,200.0,17.0,7.0,17.0,15
esporte_lazer,22.0,3021.0,1.0,800.0,16.0,2.0,11.0,16
perfumaria,39.0,346.0,2.0,400.0,27.0,5.0,20.0,17
informatica_acessorios,59.0,636.0,1.0,900.0,40.0,15.0,20.0,18
moveis_decoracao,56.0,296.0,2.0,1700.0,100.0,7.0,15.0,19
cama_mesa_banho,52.0,206.0,1.0,500.0,16.0,10.0,16.0,20
moveis_decoracao,27.0,158.0,4.0,2550.0,29.0,24.0,45.0,21
cama_mesa_banho,27.0,329.0,2.0,800.0,36.0,8.0,16.0,22
beleza_saude,58.0,1987.0,3.0,75.0,21.0,7.0,13.0,23
bebes,55.0,1627.0,1.0,500.0,20.0,13.0,13.0,24
moveis_decoracao,56.0,209.0,1.0,1800.0,40.0,10.0,30.0,25
utilidades_domesticas,52.0,968.0,1.0,900.0,50.0,5.0,50.0,26
malas_acessorios,52.0,573.0,5.0,3600.0,35.0,25.0,50.0,27
informatica_acessorios,35.0,1101.0,2.0,300.0,42.0,2.0,30.0,28
informatica_acessorios,59.0,1890.0,2.0,740.0,23.0,13.0,13.0,29
esporte_lazer,50.0,529.0,2.0,3600.0,62.0,23.0,23.0,30
cama_mesa_banho,45.0,206.0,1.0,650.0,16.0,10.0,16.0,31
ferramentas_jardim,49.0,1163.0,9.0,2150.0,70.0,8.0,34.0,32
moveis_decoracao,60.0,208.0,1.0,800.0,40.0,10.0,34.0,33
moveis_escritorio,57.0,476.0,1.0,8950.0,52.0,51.0,17.0,34
esporte_lazer,50.0,699.0,4.0,1388.0,34.0,9.0,31.0,35
bebes,52.0,708.0,9.0,7950.0,33.0,30.0,44.0,36
automotivo,43.0,1062.0,2.0,6000.0,87.0,3.0,42.0,37
eletronicos,31.0,806.0,1.0,263.0,18.0,12.0,16.0,38
utilidades_domesticas,37.0,352.0,1.0,3900.0,19.0,20.0,15.0,39
moveis_decoracao,47.0,502.0,1.0,600.0,25.0,25.0,25.0,40
moveis_decoracao,63.0,254.0,2.0,2050.0,49.0,13.0,41.0,41
brinquedos,33.0,471.0,2.0,725.0,22.0,17.0,15.0,42
cama_mesa_banho,56.0,509.0,4.0,6350.0,45.0,15.0,35.0,43
bebes,47.0,980.0,4.0,600.0,70.0,11.0,11.0,44
cool_stuff,38.0,1701.0,2.0,11750.0,18.0,40.0,79.0,45
brinquedos,20.0,866.0,3.0,2550.0,22.0,32.0,38.0,46
cool_stuff,38.0,1176.0,3.0,15350.0,47.0,40.0,47.0,47
moveis_decoracao,42.0,303.0,2.0,1300.0,25.0,16.0,25.0,48
moveis_decoracao,60.0,1972.0,2.0,850.0,69.0,11.0,11.0,49
beleza_saude,60.0,330.0,1.0,1300.0,19.0,28.0,17.0,50
esporte_lazer,53.0,3218.0,5.0,4800.0,60.0,30.0,15.0,51
cool_stuff,55.0,410.0,2.0,1300.0,36.0,16.0,24.0,52
automotivo,57.0,311.0,1.0,220.0,18.0,14.0,17.0,53
bebes,50.0,509.0,4.0,5700.0,41.0,17.0,49.0,54
malas_acessorios,53.0,1291.0,2.0,450.0,20.0,40.0,30.0,55
fashion_calcados,60.0,402.0,2.0,2000.0,32.0,12.0,37.0,56
telefonia,51.0,427.0,2.0,100.0,19.0,3.0,11.0,57
cool_stuff,58.0,1252.0,1.0,1100.0,30.0,20.0,23.0,58
papelaria,49.0,488.0,3.0,1400.0,38.0,40.0,39.0,59
brinquedos,50.0,423.0,4.0,250.0,20.0,14.0,12.0,60
esporte_lazer,47.0,956.0,1.0,1050.0,25.0,20.0,14.0,61
papelaria,59.0,144.0,1.0,500.0,24.0,7.0,16.0,62
beleza_saude,51.0,1069.0,1.0,1467.0,23.0,16.0,20.0,63
fashion_bolsas_e_acessorios,50.0,554.0,3.0,100.0,16.0,5.0,11.0,64
papelaria,41.0,92.0,1.0,100.0,16.0,5.0,16.0,65
papelaria,43.0,198.0,2.0,300.0,23.0,7.0,15.0,66
esporte_lazer,50.0,255.0,2.0,950.0,60.0,15.0,15.0,67
ferramentas_jardim,33.0,200.0,1.0,250.0,17.0,3.0,11.0,68
pcs,55.0,1067.0,1.0,12000.0,27.0,50.0,53.0,69
automotivo,60.0,1543.0,6.0,921.0,17.0,9.0,16.0,70
casa_construcao,55.0,1441.0,1.0,10000.0,60.0,25.0,25.0,71
