payment_sequential,payment_type,payment_installments,payment_value,order_id
1,credit_card,8,99.33,75269
1,credit_card,1,24.39,98161
1,credit_card,1,65.71,43930
1,credit_card,8,107.78,64933
1,credit_card,2,128.45,12703
1,credit_card,2,96.12,9432
1,credit_card,1,81.16,77993
1,credit_card,3,51.84,57204
1,credit_card,6,341.09,90162
1,boleto,1,51.95,26050
1,credit_card,8,188.73,42221
1,credit_card,1,141.9,51143
1,credit_card,1,75.78,54659
1,credit_card,5,102.66,15599
1,credit_card,4,105.28,21639
1,credit_card,10,157.45,16687
1,credit_card,1,132.04,7849
1,credit_card,1,98.94,10267
1,credit_card,4,244.15,56185
1,credit_card,3,136.71,32919
1,credit_card,4,47.69,89803
1,credit_card,2,170.57,76166
1,credit_card,4,67.5,85633
1,credit_card,10,353.09,80063
1,boleto,1,330.66,49021
2,voucher,1,45.17,55503
1,credit_card,2,541.0,24866
1,credit_card,2,139.22,74397
1,credit_card,2,290.16,35697
1,boleto,1,283.34,4167
1,credit_card,1,13.78,64398
1,credit_card,1,30.28,75959
1,credit_card,1,26.58,1233
1,credit_card,1,89.68,66612
1,credit_card,1,65.09,45876
1,credit_card,1,173.84,83139
1,credit_card,1,103.49,97577
1,credit_card,1,64.03,50127
1,credit_card,3,157.15,85299
1,boleto,1,130.88,98019
1,credit_card,2,47.72,32173
1,credit_card,8,117.74,90526
1,boleto,1,56.6,91879
1,credit_card,1,266.16,67308
1,boleto,1,31.38,51040
1,credit_card,1,121.49,81326
1,credit_card,1,32.0,32724
1,credit_card,5,153.41,29092
1,credit_card,5,65.71,44657
1,credit_card,4,278.22,7712
1,credit_card,4,91.66,64914
1,credit_card,1,132.51,71994
1,credit_card,4,542.66,53456
1,boleto,1,166.04,8963
1,boleto,1,368.98,81603
1,credit_card,2,113.2,77241
1,credit_card,3,99.43,7668
1,credit_card,2,27.35,8743
1,credit_card,4,43.77,5809
1,credit_card,2,68.49,63871
1,credit_card,2,105.53,81025
1,credit_card,8,387.8,98917
1,boleto,1,84.14,14430
1,credit_card,4,210.82,19638
1,boleto,1,90.05,40351
1,credit_card,1,67.88,36665
1,credit_card,2,37.58,34163
1,boleto,1,89.63,93677
1,voucher,1,69.46,10457
1,credit_card,2,78.3,90787
1,voucher,1,50.8,40583
1,credit_card,1,34.0,23682
1,boleto,1,77.1,18965
1,credit_card,5,566.4,78700
1,credit_card,8,402.42,73721
2,voucher,1,57.53,70589
1,credit_card,3,44.01,98468
1,credit_card,3,187.51,75047
1,credit_card,3,77.7,16165
1,credit_card,1,48.68,45150
1,credit_card,1,77.29,56560
1,credit_card,8,117.71,45545
1,credit_card,3,169.34,91944
1,credit_card,1,37.61,76970
1,credit_card,1,13.8,15321
1,debit_card,1,227.12,19153
1,credit_card,3,34.78,26541
1,credit_card,10,342.56,27437
1,credit_card,7,73.34,24546
1,credit_card,4,117.85,92882
1,credit_card,1,48.62,81006
1,credit_card,1,53.99,19462
1,credit_card,1,51.14,44101
1,credit_card,2,121.45,51350
1,credit_card,1,73.34,33131
1,credit_card,10,117.68,82261
1,credit_card,1,56.77,82969
1,credit_card,2,115.59,9151
1,credit_card,6,60.07,59830
1,credit_card,1,27.27,27457
1,boleto,1,32.15,4729
1,credit_card,3,195.71,3857
2,voucher,1,43.12,80259
1,credit_card,1,88.49,54781
1,credit_card,3,34.09,78663
1,credit_card,1,40.99,45712
1,credit_card,3,71.99,65941
1,boleto,1,47.0,73226
1,credit_card,3,81.78,71777
1,credit_card,3,231.45,4301
1,credit_card,7,144.2,91979
1,debit_card,1,35.14,25502
1,credit_card,10,285.79,50505
1,credit_card,2,176.7,44967
