seller_zip_code_prefix,seller_city,seller_state,seller_id
13023,campinas,SP,1
13844,mogi guacu,SP,2
20031,rio de janeiro,RJ,3
4195,sao paulo,SP,4
12914,braganca paulista,SP,5
20920,rio de janeiro,RJ,6
55325,brejao,PE,7
16304,penapolis,SP,8
1529,sao paulo,SP,9
80310,curitiba,PR,10
75110,anapolis,GO,11
13530,itirapina,SP,12
1222,sao paulo,SP,13
5372,sao paulo,SP,14
88705,tubarao,SC,15
42738,lauro de freitas,BA,16
88780,imbituba,SC,17
70740,brasilia,DF,18
45810,porto seguro,BA,19
5138,sao paulo,SP,20
11440,guaruja,SP,21
14910,tabatinga,SP,22
4156,sao paulo,SP,23
13320,salto,SP,24
98910,tres de maio,RS,25
30494,belo horizonte,MG,26
86707,arapongas,PR,27
9850,sao bernardo do campo,SP,28
4857,sao paulo,SP,29
18500,tatui,SP,30
80210,curitiba,PR,31
2261,sao paulo,SP,32
88495,garopaba,SC,33
3562,sao paulo,SP,34
37650,camanducaia,MG,35
17602,tupa,SP,36
7241,guarulhos,SP,37
83050,sao jose dos pinhais,PR,38
3445,sao paulo,SP,39
4133,sao paulo,SP,40
72233,brasilia,DF,41
70645,brasilia,DF,42
88730,sao ludgero,SC,43
88075,sao jose,SC,44
13416,piracicaba,SP,45
90850,porto alegre,RS,46
37584,congonhal,MG,47
31950,belo horizonte,MG,48
31555,belo horizonte,MG,49
9251,santo andre,SP,50
4705,sao paulo,SP,51
6144,osasco,SP,52
13270,valinhos,SP,53
89214,joinville,SC,54
11446,guaruja,SP,55
28990,saquarema,RJ,56
88390,barra velha,SC,57
25730,petropolis,RJ,58
95500,santo antonio da patrulha,RS,59
84010,ponta grossa,PR,60
6544,santana de parnaiba,SP,61
9121,santo andre,SP,62
13568,sao carlos,SP,63
6056,osasco,SP,64
14940,ibitinga,SP,65
5741,sao paulo,SP,66
83010,sao jose dos pinhais,PR,67
3702,sao paulo,SP,68
6429,barueri,SP,69
6192,osasco,SP,70
95076,caxias do sul,SP,71
3569,sao paulo,SP,72
89207,joinville,SC,73
38440,araguari,MG,74
32180,contagem,MG,75
89258,jaragua do sul,SC,76
14940,ibitinga,SP,77
9715,sao bernardo do campo,SP,78
88501,lages - sc,SC,79
95711,bento goncalves,RS,80
15805,catanduva,SP,81
9400,ribeirao pires,SP,82
4726,sao paulo,SP,83
14882,jaboticabal,SP,84
19830,echapora,SP,85
6713,cotia,SP,86
89160,rio do sul,SC,87
4275,sao paulo,SP,88
18040,sorocaba,SP,89
21235,rio de janeiro,RJ,90
14850,pradopolis,SP,91
22420,rio de janeiro,RJ,92
1125,sao paulo,SP,93
24813,itaborai,RJ,94
5786,sao paulo,SP,95
15137,mirassol,SP,96
9190,santo andre,SP,97
16200,birigui,SP,98
3569,sao paulo,SP,99
31730,belo horizonte,MG,100
20785,rio de janeiro,RJ,101
20060,rio de janeiro,RJ,102
14940,ibitinga,SP,103
12401,sao paulo,SP,104
1425,sao paulo,SP,105
19803,assis,SP,106
13820,jaguariuna,SP,107
14801,araraquara,SP,108
27963,macae,RJ,109
13320,salto,SP,110
13504,rio claro,SP,111
86039,londrina,PR,112
5101,sao paulo,SP,113
14010,ribeirao preto,SP,114
21210,rio de janeiro,RN,115
37410,tres coracoes,MG,116
4248,sao paulo,SP,117
15190,nhandeara,SP,118
14940,ibitinga,SP,119
3514,sao paulo,SP,120
71070,brasilia,DF,121
6465,barueri,SP,122
1044,sao paulo,SP,123
88870,orleans,SC,124
70384,brasilia,DF,125
2310,sao paulo,SP,126
2016,sao paulo,SP,127
78095,cuiaba,MT,128
13575,sao carlos,SP,129
1040,sao paulo,SP,130
3322,sao paulo,SP,131
20261,rio de janeiro,RJ,132
85830,formosa do oeste,PR,133
23550,rio de janeiro,RJ,134
11085,santos,SP,135
3417,sao paulo,SP,136
76500,santa terezinha de goias,GO,137
81210,curitiba,PR,138
8260,sao paulo,SP,139
95995,arvorezinha,RS,140
4674,sao paulo,SP,141
14020,ribeirao preto,SP,142
36525,guiricema,MG,143
95072,caxias do sul,RS,144
55004,caruaru,PE,145
80045,curitiba,PR,146
14401,franca,SP,147
81030,curitiba,PR,148
40243,salvador,BA,149
9951,diadema,SP,150
8573,itaquaquecetuba,SP,151
18682,lencois paulista,SP,152
7091,guarulhos,SP,153
6341,carapicuiba,SP,154
76400,uruacu,GO,155
88301,itajai,SC,156
3280,sao paulo,SP,157
1545,sao paulo,SP,158
1026,sao paulo,SP,159
80620,curitiba,PR,160
87900,loanda,PR,161
3186,sao paulo,SP,162
19400,sao paulo,SP,163
2839,sao paulo,SP,164
87014,maringa,PR,165
1207,sao paulo,SP,166
1411,sao paulo,SP,167
30190,belo horizonte,MG,168
8502,ferraz de vasconcelos,SP,169
1541,sao paulo,SP,170
13481,limeira,SP,171
11040,santos,SP,172
6436,barueri,SP,173
2310,sao paulo,SP,174
35530,claudio,MG,175
14080,ribeirao preto,SP,176
24355,niteroi,RJ,177
17700,osvaldo cruz,SP,178
6380,carapicuiba,SP,179
6016,osasco,SP,180
24451,sao goncalo,RJ,181
78820,jaciara,MT,182
88330,balenario camboriu,SC,183
4009,sao paulo,SP,184
89120,timbo,SC,185
14075,ribeirao preto,SP,186
5424,sao paulo,SP,187
99730,jacutinga,RS,188
60440,fortaleza,CE,189
7242,guarulhos,SP,190
7051,guarulhos,SP,191
8517,ferraz de  vasconcelos,SP,192
16800,mirandopolis,SP,193
89228,joinville,SC,194
30421,belo horizonte,MG,195
17056,bauru,SP,196
12308,jacarei,SP,197
13304,itu,SP,198
85301,laranjeiras do sul,SP,199
